"phecode","range_start","range_end"
580.12,580.00,590.99
580.13,580.00,590.99
580.14,580.00,590.99
580.3,580.00,590.99
580.31,580.00,590.99
580.32,580.00,590.99
580.4,580.00,590.99
586.1,580.00,590.99
586.2,580.00,590.99
585.1,580.00,590.99
585.2,580.00,590.99
585.3,580.00,590.99
592.11,590.00,593.99
594,594.00,595.99
592.13,590.00,593.99
592.12,590.00,593.99
592.21,590.00,593.99
594.1,594.00,595.99
594.2,594.00,595.99
594.8,594.00,595.99
598.9,598.00,598.99
586.3,580.00,590.99
686.2,680.00,686.99
586.4,580.00,590.99
597.1,595.00,597.99
597.8,595.00,597.99
593.1,590.00,593.99
599.3,599.00,599.99
599.4,599.00,599.99
599.5,599.00,599.99
599.6,599.00,599.99
599.9,599.00,599.99
599.7,599.00,599.99
599.8,599.00,599.99
598.4,598.00,598.99
603.1,600.00,609.99
610.2,610.00,613.99
610.8,610.00,613.99
610.3,610.00,613.99
610.4,610.00,613.99
614.1,614.00,616.99
614.3,614.00,616.99
614.31,614.00,616.99
614.33,614.00,616.99
614.32,614.00,616.99
614.4,614.00,616.99
614.5,614.00,616.99
614.51,614.00,616.99
614.52,614.00,616.99
614.53,614.00,616.99
614.54,614.00,616.99
618.2,617.00,618.99
618.5,617.00,618.99
618.6,617.00,618.99
627.21,626.00,628.99
627.4,626.00,628.99
627.22,626.00,628.99
627.5,626.00,628.99
626.13,626.00,628.99
626.14,626.00,628.99
626.2,626.00,628.99
626.8,626.00,628.99
626.15,626.00,628.99
626.4,626.00,628.99
626.21,626.00,628.99
625.1,624.00,625.99
622.2,620.00,623.99
624.9,624.00,625.99
619.1,619.00,619.99
619.2,619.00,619.99
619.3,619.00,619.99
619.4,619.00,619.99
619.5,619.00,619.99
624.1,624.00,625.99
624.2,624.00,625.99
634.1,634.00,636.99
634.3,634.00,636.99
635.2,634.00,636.99
635.3,634.00,636.99
636.3,634.00,636.99
642.1,642.00,642.99
636.1,634.00,636.99
636.2,634.00,636.99
643.1,643.00,643.99
647.1,647.00,647.99
647.3,647.00,647.99
636.8,634.00,636.99
656.1,656.00,656.99
655.1,655.00,655.99
681.1,680.00,686.99
681.2,680.00,686.99
681.3,680.00,686.99
681.5,680.00,686.99
681.6,680.00,686.99
681.7,680.00,686.99
695.21,690.00,697.99
694.1,690.00,697.99
694.2,690.00,697.99
695.1,690.00,697.99
695.2,690.00,697.99
695.8,690.00,697.99
695.9,690.00,697.99
695.7,690.00,697.99
694.3,690.00,697.99
695.22,690.00,697.99
707.1,707.00,707.99
707.2,707.00,707.99
707.3,707.00,707.99
689,689.00,689.99
704.8,703.00,704.99
706.3,705.00,706.99
706.8,705.00,706.99
702.4,700.00,702.99
711.2,710.00,716.99
711.3,710.00,716.99
710.11,710.00,716.99
710.12,710.00,716.99
